               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11283,            0.028352,             0.04817,           0.0017008,               0.125,           0.0059355,           0.0019041,            0.050698,            0.023573,            0.032159,               0.091,               0.001,               0.001
                   1,             0.08339,            0.026822,            0.045475,           0.0033984,             0.41667,            0.027457,           0.0084887,            0.043372,            0.020942,            0.029631,            0.081017,           0.0020168,           0.0020168
                   2,            0.072626,            0.027318,            0.046103,           0.0051098,                0.75,             0.23156,             0.10499,            0.031104,            0.017554,            0.029537,            0.070947,           0.0029466,           0.0029466
                   3,            0.057712,            0.023409,            0.042339,             0.12612,             0.83333,             0.22615,             0.09966,            0.029718,            0.013289,            0.028812,            0.060789,           0.0037892,           0.0037892
                   4,            0.055987,             0.02203,            0.042355,            0.056212,                 0.5,             0.16318,            0.045014,            0.042521,            0.010586,            0.029492,            0.050545,           0.0045446,           0.0045446
                   5,            0.058118,            0.020436,            0.045091,             0.15778,             0.89583,             0.27039,             0.13042,            0.037725,           0.0096552,             0.02959,            0.040213,            0.005213,            0.005213
                   6,            0.053656,            0.019993,            0.042017,             0.24058,              0.7067,             0.40922,              0.1398,            0.037065,           0.0089481,            0.030011,            0.029794,           0.0057942,           0.0057942
                   7,            0.049195,            0.016921,            0.040508,             0.11253,                   1,             0.40236,             0.14782,            0.033748,           0.0077912,            0.029072,            0.019288,           0.0062884,           0.0062884
                   8,            0.051521,            0.017322,             0.04253,             0.13015,             0.83333,             0.38522,             0.19406,            0.034901,           0.0071716,            0.028214,           0.0086954,           0.0066954,           0.0066954
                   9,            0.047552,            0.015836,             0.04065,             0.44931,               0.375,             0.44077,             0.24181,            0.035219,           0.0066115,            0.028133,            0.006436,            0.006436,            0.006436
                  10,            0.046944,            0.015416,            0.042956,             0.24069,             0.46392,             0.62749,             0.36169,            0.023337,           0.0071603,            0.027872,            0.006436,            0.006436,            0.006436
                  11,            0.043441,            0.014837,            0.039125,             0.23731,             0.84547,             0.55036,             0.35466,            0.021515,            0.006269,            0.027422,             0.00604,             0.00604,             0.00604
                  12,            0.035901,            0.012931,            0.038592,             0.31779,             0.83333,             0.62404,             0.29384,            0.027585,           0.0058034,            0.027297,            0.005644,            0.005644,            0.005644
                  13,            0.037093,            0.011475,            0.037521,             0.27758,                   1,             0.56551,              0.4158,            0.019271,           0.0053853,            0.026551,            0.005248,            0.005248,            0.005248
                  14,            0.036195,            0.012513,            0.037693,             0.26272,                   1,             0.51782,             0.38032,            0.017313,           0.0048559,            0.026514,            0.004852,            0.004852,            0.004852
                  15,            0.033415,             0.01178,            0.037085,             0.24805,                   1,             0.53664,              0.3996,            0.016156,           0.0045014,            0.025222,            0.004456,            0.004456,            0.004456
                  16,            0.035706,            0.012181,            0.038203,             0.65942,              0.5625,             0.70861,             0.46955,            0.020508,           0.0043475,            0.024574,             0.00406,             0.00406,             0.00406
                  17,            0.035444,            0.012052,            0.039282,             0.65952,             0.60417,             0.78847,             0.61796,            0.013975,            0.004095,            0.023914,            0.003664,            0.003664,            0.003664
                  18,            0.029829,            0.011254,            0.035931,             0.58524,              0.7198,             0.78629,              0.6161,            0.016538,           0.0038093,            0.023546,            0.003268,            0.003268,            0.003268
                  19,            0.029987,            0.010597,            0.037951,             0.54455,                0.75,              0.7435,             0.51669,            0.013676,           0.0034252,            0.023014,            0.002872,            0.002872,            0.002872
                  20,            0.032157,            0.010267,            0.035981,             0.49502,                0.75,             0.72896,             0.55532,            0.012646,           0.0034045,            0.022842,            0.002476,            0.002476,            0.002476
                  21,            0.026735,            0.010273,            0.037734,             0.50164,                0.75,             0.72896,             0.63734,            0.010849,           0.0033968,            0.022737,             0.00208,             0.00208,             0.00208
                  22,            0.029658,            0.010829,            0.037185,             0.50973,             0.72786,              0.7233,             0.59824,            0.010768,           0.0033082,            0.022718,            0.001684,            0.001684,            0.001684
                  23,            0.023301,           0.0094477,             0.03179,             0.50217,             0.77723,             0.71914,             0.63125,           0.0096249,           0.0032612,            0.022708,            0.001288,            0.001288,            0.001288
                  24,            0.023159,           0.0097348,            0.031539,             0.51393,             0.83018,             0.72278,             0.62865,           0.0089466,           0.0032339,            0.022708,            0.000892,            0.000892,            0.000892
